"Description","Symbol","Units","Value","\plant"
"Plant construction","","","",""
"Crown-shape parameter","\eta","-","12","eta"
"Leaf mass per area","\phi","kg m^{-2}","0.1978791","lma"
"Leaf nitrogen per area","\nu","kg m^{-2}","XXX"
"Wood density","\rho","kg m^-3","608.0","rho"
"Leaf area per sapwood area","\theta","-","4669","theta"
"Height-leaf area scaling, intercept","\alpha_{l1}","m^{-1}","5.44","a_l1"
"Height-leaf area scaling, slope","\alpha_{l2}","-","0.306","a_l2"
"Root mass per leaf area","\alpha_{r1}","kg m^{-2}","0.07","a_r1"
"Ratio of bark area to sapwood area","\alpha_{b1}","-","0.17","b"
"Production","","","",""
"Leaf photosynthesis per area","\alpha_{p1}","kg yr^{-1} m^{-2}","XXX","a_p1"
"Saturation of leaf photosynthesis per area","\alpha_{p2}","0-1","XXX","a_p2"
"Yield, = fraction of carbon fixed converted into mass","a_y","0-1","0.7","a_y"
"Leaf respiration per mass","r_l","kg yr^{-1} kg^{-1}","XXX","r_l"
"Fine-root respiration per mass","r_r","kg yr^{-1} kg^{-1}","XXX","r_r"
"Sapwood respiration per mass","r_s","kg yr^{-1} kg^{-1}","XXX","r_s"
"Turnover rate for leaves","k_l","yr^{-1}","XXX","k_l"
"Turnover rate for sapwood","k_s","yr^{-1}","XXX","k_s",
"Turnover rate for bark","k_b","yr^{-1}","0.2","k_b"
"Turnover rate for fine roots","k_r","yr^{-1}","1.0","k_r"
"Fecundity","","","",""
"Seed mass","s","kg","XXX","mass_seed"
"Height at maturation","\mu","m","XXX","hmat"
"Maximum allocation to reproduction","\alpha_{f1}","0-1","1.0","a_f1"
"Parameter determining rate of change in $r(x, m_\textrm{l})$ around $\mu$","\alpha_{f2}","-","50","a_f2"
"Accessory cost per seed","\alpha_{f3}","kg","XXX","a_f3"
"Mortality","","","",""
"Survival probability during dispersal","S_D","0-1","0.25","S_D"
"Parameter influencing survival through germination","\alpha_{d0}","kg m^{-2} yr^{-1}","0.1","a_d0"
"Baseline rate for intrinsic mortality","d_I","yr^{-1}","0.52","d_I"
"Baseline rate for growth-related mortality","\alpha_{dG_base}","yr^{-1}","5.5","a_dG_base"
"Risk coefficient for dry-mass production per unit leaf area in growth-related mortality","\alpha_{dG_slope}","yr m^{-2} kg^{-1}","20.0","a_dG_slope"
